dataset,train_size,test_size,time_series_length,n_features_per_timestep,n_classes,normalized_train_classes_entropy,raw_train_silhouette,raw_test_silhouette,one_ed_acc,three_ed_acc,best_ed,one_dtw_acc,three_dtw_acc,best_dtw,embedded_train_silhouette,std_embedded_train_silhouette,embedded_test_silhouette,std_embedded_test_silhouette,one_embedded_acc,std_one_embedded_acc,three_embedded_acc,std_three_embedded_acc,best_embedded
WormsTwoClass,181,77,900,1,2,0.9814,0.005,-0.0023,0.6104,0.5325,0.6104,0.6104,0.5714,0.6104,0.3409,0.2225,0.002,0.029,0.5671,0.0534,0.5498,0.0429,0.5671
ShapeletSim,20,180,500,1,2,0.9993,0.0018,-0.0005,0.4924,0.4924,0.4924,0.6818,0.6894,0.6894,0.7584,0.0052,-0.0068,0.001,0.4722,0.0217,0.4949,0.0071,0.4949
Earthquakes,322,139,512,1,2,0.6803,0.0004,0.0002,0.7122,0.6978,0.7122,0.6619,0.7338,0.7338,0.8843,0.0163,0.1751,0.0371,0.717,0.0391,0.7602,0.0237,0.7602
ToeSegmentation1,40,228,277,1,2,1.0000,-0.0067,0.0014,0.6798,0.6053,0.6798,0.7982,0.7632,0.7982,0.8662,0.0292,0.1717,0.1777,0.6857,0.1324,0.6842,0.1303,0.6857
Computers,250,250,720,1,2,1.0000,-0.0005,0.0093,0.576,0.62,0.62,0.656,0.672,0.672,0.5306,0.0571,0.0591,0.0181,0.5973,0.0262,0.6053,0.0303,0.6053
ToeSegmentation2,36,130,343,1,2,1.0000,-0.0064,0.0097,0.8077,0.8231,0.8231,0.8462,0.8,0.8462,0.1914,0.0796,0.1715,0.0229,0.541,0.0642,0.5692,0.0377,0.5692
Herring,64,64,512,1,2,0.9652,-0.0152,0.0116,0.5156,0.5625,0.5625,0.5469,0.5938,0.5938,0.0068,0.0005,0.0174,0.0035,0.5469,0.0221,0.5104,0.0321,0.5469
Strawberry,613,370,235,1,2,0.9404,0.031,0.015,0.9459,0.9243,0.9459,0.9378,0.9297,0.9378,0.8302,0.0298,0.7682,0.0436,0.9595,0.0038,0.9649,0.008,0.9649
Lightning2,60,61,637,1,2,0.9183,0.0167,0.028,0.7541,0.7705,0.7705,0.8033,0.7869,0.8033,0.3028,0.0116,0.0538,0.0041,0.6011,0.047,0.5902,0,0.6011
BirdChicken,20,20,512,1,2,1.0000,0.1001,0.0302,0.55,0.45,0.55,0.75,0.55,0.75,0.0396,0.0014,-0.0163,0.0011,0.5,0,0.5667,0.0471,0.5667
HouseTwenty,40,119,2000,1,2,1.0000,0.0286,0.0403,0.6807,0.6975,0.6975,0.8655,0.8908,0.8908,0.3562,0.0732,0.0479,0.079,0.5966,0.0716,0.5798,0.0892,0.5966
TwoLeadECG,23,1139,82,1,2,0.9999,0.0446,0.043,0.9896,0.9922,0.9922,0.9961,0.9935,0.9961,0.9869,0.0124,0.9781,0.0112,0.9974,0.0028,0.9974,0.0028,0.9974
PhalangesOutlinesCorrect,1800,858,80,1,2,0.9248,0.0378,0.0454,0.7121,0.7063,0.7121,0.6807,0.6888,0.6888,0.6718,0.0293,0.3012,0.0231,0.7253,0.0102,0.7486,0.0072,0.7486
